location,website,title,image,rating,description,phone,images
"MAGASIN 1, 17 Rue ABOU, Rue Abi Bakr Zniber, Fès 30100",N/A,The Brothers Barbershop 2,https://lh3.googleusercontent.com/p/AF1QipPV53ljXEcooesxcH-ZFEYcVy_MHo-mF9pQFBUJ,"4,8",N/A,0617-210151,https://lh3.googleusercontent.com/p/AF1QipPV53ljXEcooesxcH-ZFEYcVy_MHo-mF9pQFBUJ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxHYy_4a3-eNlL10B4zndUTIbzwrZSW_lXj4nD_ZFn_DkUlDt4wwrJqGwMCqNtC8z_CGLBnbm2lWabSpUPh5PK_udIT12w0dVfkXpttQ5xnhwe8bICi-6sgnGCM-9Hp0-wiUIh5|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwnJKyfZ3ht264GVv1Jk9q_BwJaQSfGNv1_kUQbsagKFnP3Q8gz9UjJMorFgdiDVOcU2YJUU6QXmfdU_UPO5nOPLdswGVZDiZvNhiI-j0QLop0xdvbH6hPj1MNLVHkM1suNJo7N1A|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx-bqYZF_GTUVVMdGW8OFfZ-yncNX1Vkn-lHDxt-363mfNWR7FZUBN9iTOGJftpt151HTYOnWqG-HM2IKTPYFJ4IscFm6fg7qDfQRsfu96hncCst8rbryUIEkGs4O0PnZs82ig|https://lh3.googleusercontent.com/p/AF1QipNtgPqAbJhHk3MiE1LejGMa0mo_obhbBTTH7SXA|https://lh3.googleusercontent.com/p/AF1QipN5j1H9-tBRQHPJHOsS2BiTYBfx3EkSfEqaxa70|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyL1NcVrM2xLQXnH-rTDUx023eG7Ik_ilgSD5NrSaAWvJj3wrPH9mQ8uu-PNOPn1P320uJPbpYRTYIBMFRshDC8ujowJmQwBbntyTY96q4wBMFVimk9gjIeHDQ6W3MP8EHIc8zk|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy2UUA3VuEMoymQe-ODb6JvsjfAijHsCtx7iCTWstzvo8yyx_uooyCdXZBuqi8kPRJkHkuDG3lntM0qdUFSoWoIs2QgjDyW6BG1mg83SBWl9cfwoyN-i9Bxeu5igWaixV12YU40Aw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzpgFptAOLM2sd6r6STS65A4ATfSTDHYpzmQdkNT5P4cRygULz3aaaQvpsdBq5qg2qzCB9pJ6rMS7hXJKG1FpU-cz_upw0kH4CsmV6C8ouWlYIyAcnK5YrObg9lm8XCF9I9q5c|https://lh3.googleusercontent.com/p/AF1QipPaFX6xIBQnolyWu5_t22wxhVgH4Ye9gDLkIt16|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz2PnOlLe_kGAZvqLa62kqQmsJy9KVdaGZeeSW8JvHP3oyfQxBCy6mcGSeGg0LD8nVW5ajixvNxPuGfAFJuoo1lfzkLHJNnNWCQ4QCT31PhsgeEsWtaqeii9X_gCF6hwLD8qqTw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzc_nJH9sDtK1xHUsJwvtSUn8KxH33AHOkndAt9JV2HYdpo-UygmnpDWgvAm2ke9RD6C7KgmX70EFnb2ounSbSNGS4ywBy0vEGjHH-kBcZwNDAnWmbhz1LATuLLcY5u9QnTG3-n|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxplR3EQ17rA7pmvs9KAXlAPlhcgmcUWQL2qiBl-aQ4ZwaOHJTPkP-IuaNnFDM-80Yb1oFb-7NjwfF1aAh2CgwQ9GgPe2DSDWe9jTtaEqgq7NfzxQ5fAsk88ea2LRjTIC-X9nv5og|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyt5XYn08HYvJiTeMqhDx1LnwjeEe1RCwJX4TmpDQWnMoq9dPALyKjJlqvXd4c_5xbvIMxFDkbi1JQ-ZtxKBLOynYNoJRhErB7w3TLohQZjiV2NzVNibIoYW22Nnrn0xDtT63Bw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxdxk3s6BPKk9WAm2C0SAzZ3EWSylS2rM0k4p-Zd0IHeZS6ieIxzJkx1Gls555JsLBEW-keaiVHGefdw6YqW0FwnxDwoAmvO3WhY_u0Yj79SWEcPqOntjgNoudOXTiovqsAJaouVg|https://lh3.googleusercontent.com/p/AF1QipMBJ1LWK4dtK3J622eBNmTbRJbQ9zItN29dPcXV
"mag 5, Douar mechmach rte imouzzer, Fès 30000",N/A,Top G Barber,https://lh3.googleusercontent.com/p/AF1QipNmsIcaREXC_gT2UWOacrBZx1AFMOKlLHVdziQq,"4,9",N/A,0709-525386,https://lh3.googleusercontent.com/p/AF1QipNmsIcaREXC_gT2UWOacrBZx1AFMOKlLHVdziQq|https://lh3.googleusercontent.com/p/AF1QipMb--gtm_HYyPwROuZWNf2qLwXJWRGY2Yyyuoah|https://lh3.googleusercontent.com/p/AF1QipO5Zcko7qgXkvoTX93YhXjd9vDCWIMC8-F9gKrq|https://lh3.googleusercontent.com/p/AF1QipPU41BLVkGbeO7um-A_sTqvYtedmUHNobbi8zZU|https://lh3.googleusercontent.com/p/AF1QipMz1Uhxq-3SMHUTKxhpoYmzTZoIrYpX7rTuiAtM|https://lh3.googleusercontent.com/p/AF1QipNezq84zTRAeObppUueIrsuHNlKYUlvoQC0hQ17|https://lh3.googleusercontent.com/p/AF1QipMUVa_CuidjDPq5_tzdByi5ddN2m6FTe4d7uLF1|https://lh3.googleusercontent.com/p/AF1QipNhIOPXKejmZGSMwHiqVWQ3a_oHlLMRCGycVCYZ|https://lh3.googleusercontent.com/p/AF1QipMY2gnIpIpVvpNOuE1BTL9OJHUyS6Ga_mpXNyQT|https://lh3.googleusercontent.com/p/AF1QipOoyHsMHGfi0iY_q2OkSxfuKAePqDZmzmylExg5|https://lh3.googleusercontent.com/p/AF1QipPG2-_0a1s0T6PZM9ICs1utbBQRoGGqSL6eSNxP|https://lh3.googleusercontent.com/p/AF1QipOr9J7jCLIZO0K7VD2iOBTlsM0EDzNQaRmAxOWd|https://lh3.googleusercontent.com/p/AF1QipPgA-0Oc4F-3iCGZ4_QRhDNQSrwpMoE5Aazvh9f|https://lh3.googleusercontent.com/p/AF1QipNDl9payzHDhgOXPzMbFokB3DhXKKVOq7LrOKkZ|https://lh3.googleusercontent.com/p/AF1QipML8u6AwSMbBjAGKuX8Dr4EgcIyeOf1iULr1cyE
N/A,https://instagram.com/the_prestige_barbershop?igshid=OGQ2MjdiOTE=,The prestige barbershop,https://lh3.googleusercontent.com/p/AF1QipPisojlYGdeLO9r_Vc1bdQRU7UBFxFyKeScemp2,"4,8",N/A,0641-981803,https://lh3.googleusercontent.com/p/AF1QipPisojlYGdeLO9r_Vc1bdQRU7UBFxFyKeScemp2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSymt1SyyYDllkIqSDGWOm5u_19Us0TlNE7jUV_R0D7pw6vD2MrN0bUusEIy1ZBMDTNy0yTqU4UrwY6yWp--SlLuX8CmOu8ph-JzCr0O0wcuwYSmuJoivugg4yKSupl2gDToV30|https://lh3.googleusercontent.com/p/AF1QipPG-tbs2__m9A8KfZmxOcQElPRxyIHdaiHlhqml|https://lh3.googleusercontent.com/p/AF1QipOnz5obKSjOa7aCylT4i42Wac_MFNc64ot_lJ0m|https://lh3.googleusercontent.com/p/AF1QipMZ5P49la8rSM7fSrt6d__7l5uWDfNM3HbtOCEI|https://lh3.googleusercontent.com/p/AF1QipOgPwswYc5qlMLV3td-XqatPQ-lrrt-bT_raJee|https://lh3.googleusercontent.com/p/AF1QipP7L4Z6HHhqktX4RueVQ_bv0sF7Ld4sH60Anu3o
"n, 256 lot hiba, Fès 30090",N/A,THE BEST BARBER,https://lh3.googleusercontent.com/p/AF1QipOQoTEXMJeDg2T8zr5atMvXiEjEio-4v7FPRddv,"5,0",N/A,0617-851368,https://lh3.googleusercontent.com/p/AF1QipOQoTEXMJeDg2T8zr5atMvXiEjEio-4v7FPRddv|https://lh3.googleusercontent.com/p/AF1QipOxk1c3mGmziGLfPBnIB1H-I5AWkx84Z8S9kbuB|https://lh3.googleusercontent.com/p/AF1QipOWMmk4Y6SlNYejprtzB1B4QXC9XN_qnvajQKQP|https://lh3.googleusercontent.com/p/AF1QipOQfJSnu4S3y9yFsxcgDLfKknddyhYkbhxhLJeN|https://lh3.googleusercontent.com/p/AF1QipOlE-PutPRzpOAapqcynAx43u8_3D_TcVZ3xpA_|https://lh3.googleusercontent.com/p/AF1QipOXOUpsdfdu4fRMxfHI4MOZmBzzClYaQUCGDWTe|https://lh3.googleusercontent.com/p/AF1QipMWjqg__GT8fkN2pjOOotM1xcq7lPawSJbOkyLW|https://lh3.googleusercontent.com/p/AF1QipOuJexfapzruf-SGVywieWZUcdofxNPL4rhiP-U|https://lh3.googleusercontent.com/p/AF1QipOqjKpQYq2xWZJ9Ds-cuBXKg_kE9JrhKbqHNQc8|https://lh3.googleusercontent.com/p/AF1QipPxzrjPS060rhY0E0TogaB7xDVZO9zidK-55fY8
"761 Avenue la mer Rouge, Fès 30070",N/A,BARBER NACHIT,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxrJaR4WToCQITl1rwqBC4ep2Sa89q9jjkBi89h2s0YrcSs_uvZ_YIKchGPlksheAf-bk7vfwKrklu2l9zkts3pxBCwTNz59X4FIusrGFSx_SGmTWCwhFiuS5VbvmLvKdzkDmkz,"5,0",S'identifie comme géré par une femme,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxrJaR4WToCQITl1rwqBC4ep2Sa89q9jjkBi89h2s0YrcSs_uvZ_YIKchGPlksheAf-bk7vfwKrklu2l9zkts3pxBCwTNz59X4FIusrGFSx_SGmTWCwhFiuS5VbvmLvKdzkDmkz|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzd1t2xm5Whvxxa77_68A5smiloscnhfmvMbJGHLKH-Ju6_KtqXy2kgoUiZ2I26IUGvIijzs_3KEwKV7zus--0j_9oLuxFGLIAmZsM_rnJlwHbsz7uEEmscwp34mWCqMZFrBlRC|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxvcPP2mFJvrVCmheZsTlu5mClFzL_HBPKtg2UFR7wEXHvRXC9QZWI3Q365bd-0fIlv3lkJQ_c7Q6AqsRnsyg1Log5hARpe3v-EFwJzzaCqO6mA_E9l8Wip2HTWrBHb2nGJyA7AfA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSypohsapu0HvHzPzTF_RY-3YnGgq7_B4U6hQCqK8fKm89px4_HXjmgJMkCrRXuzLutX_oEICofrfhm3TrBEzu-gs22MRgrdopfxiKkG0QppO5GFwErRwvOIvF7xvbh87YDEXC06|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzoJTNX5zhhD_Fygzs3G67-nvpymWu8oeV9Mh9W8O4sknvenLU5TuYuP-xQQv7iDcMYoE0jtudW8o_DKiy5EFQwHDdutQHbMfPxWCn34xuTBNt0Yuwz7uWJjx0mQDfdaGMIIkoS|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyXnp6lFhYZGV1alAX2rwkXMNUHSJGUWckSt0Gt5aaqZfzQwAsVgmZRgFX2E1QmoeHpMiZAZAe5XrDRVkRQcJ-mHBerDl67WqnsWCrYPduqhd2jHuWgYIvLDB4afQKMrvwLYLmoqg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxiHxADieGeitQ4YSlL4IZzxpfiZbnPpG5REdvcIv0u3V5-oyFOT-Ckpl-N_5rcf3v9K8UeX2oYoyVQTKB9mlpCF-QVreWnBcDigXNaVt_PGwh5ceqmfGN4Ud8XEao7zdL1r4tZ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw75TXme--SFDuvEr-f66jdiwZdJncQpVldeDNhjFKmmKbycsGKa1ZPxWhvfY23D6hBAdm7WblGN_neJbUTrWpl3OQ0nFxj6Nnvkc_49boNUgPbEzrNRHHN353GGU3g3C8UPEq1|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwSjFYZ5aiB1jkDKv-AZmNYiIvgdP5DA35H5ahHMrModw6kVid-3AUJAc-yoW73XouWt335D8EiK394eK5DMLXKnNbTyTyRTgxdCQA4XtEGt45MFWQH0CfxjoQXL0Gs7v6_GkM|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy1UUpQ52oil2OWQ6c6A6psSMpnYPs_Le09Az6-HnojyxyBx180dxoF8-V5EgrbSPDYm5WzYyEFJAH8yn1xMvgJ1OJ1vlQsSONpb424d6kRiveNVZbW1J1rsJQ50fLX6jdGYMAH|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxMcQjM8hgpmGFgxP5Huw-3i7hLrJL9M3dZfW5oNKvDthNnmV6eeKTfJwkzBF8Pd7YO_zoNYcyLXBcx5Lu4A0F9qzirD5ONQqSIwpHqVMcbauRVWP-pNwYUoLC1cG4wQVjEoQPU|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwuO0xye9kygidcavKplMoa1jfaVecgK79RjJ1DmK_-3ZTby0GZkO2H4jCILOnAKZQdo0zwd-kzYwOiJQ2dQIWRyVNpGiE5BSHBAP6oTnvQUNaGK2CNV50v6HBsP3Ks2Yv6npqaQg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwV5706KLFVt5gWDCa9z6kxnxkh2_oDgQ2558krUYfOHfTDzUWiNfdI2anT2DADtgce3_J6uSChNhLv38T_kaBw6zBy2dYUV0e1Z4Y_4tOZGoGr1Jdoe_5AfxckPvmHEjRWygCc|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzpc9zCEwT9UbN74Dpi8cNLBGvY0imWjd8DIh2C9FWCAGV9rjHjQAuED4tCbWvIvNJlzWzp09XbMAIACk8jRDUae1JzhGGJi22GQ40bBcXYhQtjVQosbHY9lCY9LCwBvGJEqtzFyA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyhrdYBz1neJXOk1Vs21F9cbryYjFuZUrKkiSdqCDXlb8MoeP86EWT9ALIWPv6_aZFukaqMGWq4Hgrit4yGG6e9RhMx6P588HlH9quZ8bNP2JfhlOTpMd6IRt8fVuhHGCHMp2Q|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwDYdaowAKIQnYXx91bfYfVamsMh0GGu7qEQaFReo6q6Wo-ZFCYVXoPiS78avl-fAZkZPR5tBcj56oHS1np0Nd0rwmy1M1_9ijo6-0exB7yuJM9Yw4o15IPFrMt-LWl0Uum4K_n
"3 av ibn atir, Fès 30000",N/A,IBRA'S KINGDOM,https://lh3.googleusercontent.com/p/AF1QipMKY44NZlvE5v3dC81AfJvz7UDA6I3xNHL_t2AX,"4,9",N/A,0699-705212,https://lh3.googleusercontent.com/p/AF1QipMKY44NZlvE5v3dC81AfJvz7UDA6I3xNHL_t2AX|https://lh3.googleusercontent.com/p/AF1QipP81znjnKDRpHMWV2khl3P54zNQ967FFRLz_RhB|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxTZfzJK8Q5FON6bYo79HkxbOoP5RJMecH40OshngcZHX4DcD8e1CJzd4qGx9N98UTroo7CC9eWHKesDqmDAJ_M1Xvuz_6A3wp17d_YgogOxpPjc9mBNvPyYPkYvSjPNTRWuaBh|https://lh3.googleusercontent.com/p/AF1QipN_J52Py6MRmBDLwqBUH_avV2cBHT6aD3D50HYZ|https://lh3.googleusercontent.com/p/AF1QipNpapMnVAdQaee6KZ-C0JPstOkfXiOS1IMiyD-V|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy4FMSBkiKPRIoeYtMZzAQxlGEeUgAHRgFyN91cF9CCauYGUF8W8jiMymedQ1QDuFmRrzDSIy3CH81hIcyA5MLv0fOZr0lHh1rktyYuhEs7zUOPK3GyWL7XYgwPhv05o9woFfLp1Q|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyf3WHzL7dcIJLFMu82H5ziUiK-nr9H4T5JZxNGIha_FsUriPoi8w10Tp1_pV0iVO0CbNhh8bDxtih8OEvKEYMClrxzw4vmV1b_kJMovsh87yG5j1voMShv3HziqUrWehtVn1pYwEiWUL4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzYEwzQWbfzJf2gWFiPkWWKyf0Nv2SnbVtASnKGLG_eZqHyJ0f5LOFHS6BeiyetsYhKJ8g20kmu5gceaCIZY8tNsG15XgEMHHU-sTZqpMBZP3pPGFkFkjuEqLh6IanuSPulxWcpRvhDVODi|https://lh3.googleusercontent.com/p/AF1QipOZmhLDIwiR1wUhhyAJvbka8b7JUVQdM4iHRKvr|https://lh3.googleusercontent.com/p/AF1QipNp-QAae23EmbkgCABtGLIWBB5UbtWf1SfIW4sC|https://lh3.googleusercontent.com/p/AF1QipPKdpNhil1TuGJz4QjCneTURYhw0liG8Grdu86_|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHP2Ho6pofcGN5cUOR5UnQlKpGB1608TZf9GaAM6AcQPVOOOjox217eFf6rpsMeDsx4e_bqRoDzHkQG_RlquzXVmOihRhI0SVxGxxAdMWhUmRkgp45Fpy8Mdg-jnDuWx4Myazx|https://lh3.googleusercontent.com/p/AF1QipNBDzhvfOmp6_LM3lUlTIsYWQwqAKhRoJs4sU5E|https://lh3.googleusercontent.com/p/AF1QipPzXIZJFEeZhYubosc8FpRiX1Cf-kdby2TArJ5Q
"Lotissement 18 wafaa, route imouzzar, Fès 35000",https://www.bmsystem.es/bms/the-uno-barber%C2%B4s,The Uno Barber’s,https://lh3.googleusercontent.com/p/AF1QipPi-hl7CkKham7A_w-nV5A_rjJlQbdaP9HGIskk,"5,0",N/A,0669-936638,https://lh3.googleusercontent.com/p/AF1QipPi-hl7CkKham7A_w-nV5A_rjJlQbdaP9HGIskk|https://lh3.googleusercontent.com/p/AF1QipNEKQYkN0_w_0wk8ICn06xmmwl7mQx6EdUPTmdO|https://lh3.googleusercontent.com/p/AF1QipN7zHh6X8_DYZTOorcA26V4RlrauZeZjjEUFRZs|https://lh3.googleusercontent.com/p/AF1QipM8Cq_dLgjtNiJJ2Khlz5Gakjz4QHRUD79DAvTf|https://lh3.googleusercontent.com/p/AF1QipMejnvC5v-pd6rOCAGf9TrOhy2Wr--2WWeOy-O8|https://lh3.googleusercontent.com/p/AF1QipMCwH8T6UP2ZxaLh9KOpQmL4Oz0oxEAlRz5iKkU|https://lh3.googleusercontent.com/p/AF1QipN8lUHb-CcWM54PZklpUVL-4whtG0ZiyfPYU1GR
"رقم 53 شارع ظهران 4طريق صفرو, Fes",https://www.instagram.com/thebarberamrati?igsh=MThzOWZqNmwwN2Zs&utm_source=qr,The barber amrati,N/A,N/A,N/A,0654-224431,
"4 A RES IKHLAS RTE AIN SMEN MAG 3, Fes 30020",N/A,Barbershop,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz2ysdLzZvLVu2EQXBTLir3BibN0m-gu9t4O5dPNZCowUxzicz7eKDlUOyO7SthUgJjks-eISE47T2CQ8cirSOpiNCCFEtDg2QxwqeoD97Y1quSpaK3O2XZPtvA-_WsD158OCE,"4,1",N/A,0696-430330,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz2ysdLzZvLVu2EQXBTLir3BibN0m-gu9t4O5dPNZCowUxzicz7eKDlUOyO7SthUgJjks-eISE47T2CQ8cirSOpiNCCFEtDg2QxwqeoD97Y1quSpaK3O2XZPtvA-_WsD158OCE|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwY3z75cEECRUThTGuAzgNsRIoRoFJ6Yi1NV0-ecXFk3ldeONxrlY4Zl_iRAZ9MO6TAE5iBKqeryhO1sO-Fj3rltF-0lEWdOr_x_a0Q0MogY2JlX_ezW4XOe7ncr_isT_RA0WH1|https://lh3.googleusercontent.com/p/AF1QipPJe-zwrtPwZ2M2dMiPrRS3EYRg4UTPi2dPme3D
"2279+7M3 Avenue Al Khalil, Rte de Sefrou, Fès 34013",https://www.tiktok.com/@men_berber?_t=8YeNn63CZi2&_r=1,Golden Barber Qasiwi,N/A,N/A,N/A,0674-445353,
"In front of New Relax coffee, Av. Ibn El Atir, Fès 30050",http://bit.ly/booking-barberbigboss-,BARBER BIGBOSS,https://lh3.googleusercontent.com/p/AF1QipNzggnd3EmcEyh_E3YZoTLjfoJVMjJoiISbLSNI,"4,9",N/A,0632-306066,https://lh3.googleusercontent.com/p/AF1QipNzggnd3EmcEyh_E3YZoTLjfoJVMjJoiISbLSNI|https://lh3.googleusercontent.com/p/AF1QipOOPp35FIPNSPsdoqOjGBZApDBoj4ZTxro41n-c|https://lh3.googleusercontent.com/p/AF1QipMlw38wIB9-xBmpPGnshxA7pBLoSZv1TTEXu6dn|https://lh3.googleusercontent.com/p/AF1QipNtxhiW10cE_t-Y_iOPaB1JOYuihoMyw9D6sUta|https://lh3.googleusercontent.com/p/AF1QipPS2nLu7i1gOukvT-uYkyy_c9Nn-Aw9nKwjUcK7|https://lh3.googleusercontent.com/p/AF1QipPRJVsrmaHne4sgCZac5WDMrr7L9BkkG5zndVwW|https://lh3.googleusercontent.com/p/AF1QipNEqYrOVxDhRD4u6NyoUxMzBzhWwJWXXCW4TjLE|https://lh3.googleusercontent.com/p/AF1QipNIF-RtZrIUJgpaue4CMoSw5jrMWS4WtkMxENUl|https://lh3.googleusercontent.com/p/AF1QipNGDmpSJUhC4idc1Mp7wx-xIrcbZ5sOp19apqQ6|https://lh3.googleusercontent.com/p/AF1QipPzQZyY5M5z4b04ooGZ05r4CHfXMLbgiqLV2QHQ|https://lh3.googleusercontent.com/p/AF1QipNAl543JUB0DSFF0hFfnGS2fgnIOH0s9907-B1r|https://lh3.googleusercontent.com/p/AF1QipNUR9Is1knJ1xJxMrAA0knNVf6l_u9BLtcsm1Eh|https://lh3.googleusercontent.com/p/AF1QipN7LJ8eDdvNhYwEBRgMKgLRuQCtGrRiXKFbgwVP|https://lh3.googleusercontent.com/p/AF1QipMND7VHCaRgG6i-cAOJ5_uM0trmVFVDfi_zhtuz|https://lh3.googleusercontent.com/p/AF1QipM_k2PwkdXeDduxJCn5_nlggIr96zrjNRatq2m6|https://lh3.googleusercontent.com/p/AF1QipPvmp8wCwjecPWXBF5sMwyC7ES9gFH9VMKdiOT3|https://lh3.googleusercontent.com/p/AF1QipO1MKwo1IK93OFouU7r2oS_aJLQP4EeZOK4h9Ah|https://lh3.googleusercontent.com/p/AF1QipMxTUB-UIcp3KiXVuS-BKMe_HFJyZsj8udMtvAp|https://lh3.googleusercontent.com/p/AF1QipPMAgANKQ50czazwLnkTvo0gyP77xARSFPNGOkS|https://lh3.googleusercontent.com/p/AF1QipMQM3HrT_MYh3IKYQnGDr_jF8f06CEZag6mEv17
N/A,N/A,The Barbershop - Fes,N/A,N/A,N/A,05356-14221,
N/A,N/A,BARBER FES,https://lh3.googleusercontent.com/p/AF1QipMKdod_jhjkJyS5wkSOj-AZABH_c4raK6LEog9T,"4,9",N/A,0660-181540,https://lh3.googleusercontent.com/p/AF1QipMKdod_jhjkJyS5wkSOj-AZABH_c4raK6LEog9T|https://lh3.googleusercontent.com/p/AF1QipMGt-6xdhOsK0UYtxyh5caxVhFqU-EYAVvmlRPS|https://lh3.googleusercontent.com/p/AF1QipN4XVsuN_3MKR1mEZKP0AX4coas1K50O7016WtF|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw7ZbBG_Jqc7vE97tAQTPdohenLLGRehYnHMDhRBKQJk9Z0d8tJnecMsd1uDIAcWX1-ob9We0vARXylfmAM9rhYJC9JHlOBScsM2uEG4habmNYR-mZ92VK3CeT9n-bjtLbstAFD|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSys_2Em4cM95p_swfFhFMZ2XuhfWrtRXV0VWwTrpgtOxqKyTXbQQb3bwNuQwn4rNPTZefM4083a2mJsIXTbXlZWI4oExxVO_7bciTyXnlXI2FOPRG2qPrOJYOjmTF23JwZBoM0w|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx5Q7fmgegW3tcXoJMOgY-gGeLpVznYcy5BmUyVeF_B9dE7jL52UfNzvje5z6PUr0AUutvfEkTKRWr5BeLozo5R4TrGjYmFgv_JsnT35FY6342f1bUazMPf72r56RwNbeqVX6IeNQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzOD94MTraX8ejbAaoUzZfsR2C6qMVDRFVMLCrFlO1GG1vD0qV7y086_Ba2pkSS7PbAce469dO58oGbrIhRMbOXzFuWJwhVTfFKX5rPQdGquvh00tZSdOUGcjD5iA2noRtCu4sWEg8hzhI|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwBscG7viDjg_1tLDZLCGiKkOUiI7-unqvFuWsc4y5vJk82LMPLF9uRMM2WsX75oV6-V7AcwYiXwF9-lJ-sxGA44GS2yfKnAihStjBKtASGEw1XsISxyqwEKfsoGLy_k2ggyUK3MAyOuHWj
