description,phone,location,rating,title,website,images,image
N/A,N/A,"W387+RG5, Témara","3,8",Hammam Public - El Wifaq,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxEugG2QyNFnMBndv7tIa011J4n1v_ie3itUIkHWsu1nxAQp75EBuuP6ujmFaibtIe2AnSqWq36EGBs-jCnjc4G_rShMOycoF4v1T5ZTKPPFrSaiuV4ChLQsYgJP-jz-guFz90y|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwLY0881DYjJsgZa940FKf6AiuC4YQaVHkZzhMj7FR9dd1P9HH8J17W7tbWiZMr-XOOa2fvxkRYtL-XEut0E9AtQpXj2l8EApN_85eZrqyi62vwOeiAkoKWIqlza-1bZZXcwvqA,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxEugG2QyNFnMBndv7tIa011J4n1v_ie3itUIkHWsu1nxAQp75EBuuP6ujmFaibtIe2AnSqWq36EGBs-jCnjc4G_rShMOycoF4v1T5ZTKPPFrSaiuV4ChLQsYgJP-jz-guFz90y
N/A,05376-16231,N/A,"3,5",Hammam et Spa Jawhara - حمام جوهرة,https://www.temaracity.com/fr/listing/i-fitness-club/,https://lh3.googleusercontent.com/p/AF1QipMnGlergNGwXm_6fRHgm6-bFpV4ZlbVDDxC9KDd|https://lh3.googleusercontent.com/p/AF1QipNACW2_fzP61RdsXtrAx1YWANbqR3nhuOMcp266|https://lh3.googleusercontent.com/p/AF1QipMAhJhhM0ZHxirTg-cDe2rau7LQrQ-whf0FZf_5|https://lh3.googleusercontent.com/p/AF1QipPfb_jkYGKHw33shb3NY5d6JcI4lCs20_DWkCLl|https://lh3.googleusercontent.com/p/AF1QipNR0v8kFtNoD2B2pTExfKKjInzzAJGbwZvN_J05|https://lh3.googleusercontent.com/p/AF1QipPlEmhR7brl70owjVK87rO3Z9Cw-URT0Yrftpvk|https://lh3.googleusercontent.com/p/AF1QipNxsoHU76hUtPOR3Yxd0aO-c_8bZXgsinu4t1Uo|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwrZglmu-SC-coa7kbanRbq3RIo4SmGJkrs_hDjY8Ybtd2wgv2Upnfwd2DRSuwxqm1PZ6MKprzwUj14u1YxBad0tFwnitUIZFieLI5t96y6SvS7OPlY-bOom_NpVvmBJ6w4dGEg|https://lh3.googleusercontent.com/p/AF1QipOWX3kUpqTusezX8ghW6MhU5yWW4bxb_camuBWN|https://lh3.googleusercontent.com/p/AF1QipOnaOBruV9hH1UMFwuNaO6Lfd3DXlc0n8ztJWfs|https://lh3.googleusercontent.com/p/AF1QipNyzfNplmK6GHfoyXAGI3LjKobJtGnPM8-mQLSA|https://lh3.googleusercontent.com/p/AF1QipNCELUye9_FFbS0sKTHMrqAkfAIRfsTosu1dVhv|https://lh3.googleusercontent.com/p/AF1QipOYQ52Qd2rB4cov8GnnLLNlJS7YG7dlf1wR2f3P|https://lh3.googleusercontent.com/p/AF1QipOIfHTWTjx7RfMBx0N8RHfWtFdCNzAaU-voQzqH|https://lh3.googleusercontent.com/p/AF1QipNHhiJbQZR8aTT62y-rQ29b0Sguk1SV4f3YBbac|https://lh3.googleusercontent.com/p/AF1QipPI5U8wpztcruFqY6XZbGBLPuMVQQ6dIQWnd1S9|https://lh3.googleusercontent.com/p/AF1QipM55wUxKOvawaBKeFvPvM2R9QwE7tPlMDAz9w4q|https://lh3.googleusercontent.com/p/AF1QipPqLXvL2rsj0p-MKKETJfqDG2BsVbi-zsCmFeEk|https://lh3.googleusercontent.com/p/AF1QipO4qqH6YiWZpWe08dGAL86omxOpidsUrUxU1hig|https://lh3.googleusercontent.com/p/AF1QipPsUh89ZRJBEJ9ZrsJipl6_T-4b1nxcb0o1zqlB,https://lh3.googleusercontent.com/p/AF1QipMnGlergNGwXm_6fRHgm6-bFpV4ZlbVDDxC9KDd
N/A,N/A,"W3MR+FJ6, Avenida Moulay Ali Cherif, Temara 12000","4,5",Massage Spa Rabat,N/A,https://lh3.googleusercontent.com/p/AF1QipPqLXvL2rsj0p-MKKETJfqDG2BsVbi-zsCmFeEk,https://lh3.googleusercontent.com/p/AF1QipPqLXvL2rsj0p-MKKETJfqDG2BsVbi-zsCmFeEk
N/A,0530-757576,"W3F7+2H6, bd al khansae imm californie, Témara 12040","3,7",imperial-hammam-spa,https://www.instagram.com/imperial_hammam_spa/?utm_medium=copy_link,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzLBwDVYC1Vh_dN3OWwtdmrbEBl1L4vciG6vkxqUwfwoVkIAnIfVZbUqca8yqIs458n8RmvC1YkWGrP2a2zZ0PQ3KmKku5cj-RuxdhlkGInPMdDDQSUlsSTvYNslFKU2cC12h0x|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz__qNvhzQT5mDbua5NpSsh5nLI0ohkOiQMG-wodA0usJJ6VUVIsojG0N0M6I-0J3JDyyv-5SdFcV4WrK-7jabImaOzhNwWG8d4hCUFZc6ODX_BpijrHzKI2WOcqOTrIWv4TukjbQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxJCsusFeblq1M85WQd8q_xr_0n2VlAScmhnEq8menovZe51zTYXWAxmUgGO0-DTl2R1IbLhwY10SsPZpJagfCIrJO35X5H0hldUhOlSdISAYPQgp3xUS0yLyosZ8-ZA6noGy-Wdg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyULxM8rRrA0pbPbDD1Vm4EpwShRdoerJhTG5roxEmh4-ipik6cl30ER_aCgQBtzDUAFp750d8RYgtY3wAXVCcQQMrm-XTPJT5BGaXsASgzvOIsaAFb70M1OkRszaIYqfXGjahHbQ|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxvXJLMYwd65qQL48i42v0XjDxjvC8-2Yl7rJg1_Fr7xpQ_0UweECo7rSK2aKMhZCl97Q2NoXhyO452V54NGueCDnSfSFgaFsR1obKhSHvAGkNLQjOdYMq8kboTrpNCg4QTbK8|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzwzxQu8TNhX7IRz6vosECwa2TvI1NkpXqsUJYAOTPpARAriNbFwGJeacnwUQmRIwgxP_7_RO0ujut6my7H-A08nfq3x9FsQngQINKJre-bV6r1AIV-f2VOTB6q9UvPOic0VFY4|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZmBWd9HS21tyyNYvaTvuBWArIV02PdLTMK5Y-2s4SOxowwPSZP0T8BhG4JJr6lqXi8Lv67PnJOYD-J03fVw8QBO_8A_IhLw32EiGoMKNGJ9GjafEKuHCDo-9bUTXW-i5m7nSW|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwS8Oiq0OP5FD1Kyt8ljgllG2eRZnhwIQ9L_ZhlX77CEvbj-PQOPWdI7XkSblonP-3tuvYCbWg-3y7Sf05OXcZj70SaMjWeq7Yx4f9OQb4kUNX7Km0ConYvhXa7xfYaqpOrjAhsAw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyy9WJEB6MUVp0zOKHq5Sh59dLp6vNvM_XXtnEFSWD9V-eusp3wue9hVxxFlqQ2z2R_mDjsA4F1dKZanD9WzgQ9Dt_wIMlDp7TQgTN_cwylxNzOc7-Qfwj3TFkj_34GH84s-C_L,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzLBwDVYC1Vh_dN3OWwtdmrbEBl1L4vciG6vkxqUwfwoVkIAnIfVZbUqca8yqIs458n8RmvC1YkWGrP2a2zZ0PQ3KmKku5cj-RuxdhlkGInPMdDDQSUlsSTvYNslFKU2cC12h0x
N/A,0676-300132,"N, 11 lot Ben Moussa, Témara 12000","3,0",Sunset Hammam & Spa,N/A,https://lh3.googleusercontent.com/p/AF1QipN0c8Fibp_L9Kx1Q8QgHj2TYOuhQk3ds_F6EhJ8|https://lh3.googleusercontent.com/p/AF1QipPb2JrRr3txXFYPD6shyKfuQuaXSBq0Zmy3zxPW|https://lh3.googleusercontent.com/p/AF1QipOSmdi8gA4Bf6gc_avKQWWnHQJ_oy7B2b9ThFom|https://lh3.googleusercontent.com/p/AF1QipOzdkmsaG00R3e9zD7S0hZEd30rYAB6XO4KROFS|https://lh3.googleusercontent.com/p/AF1QipNmi2LVjmaYsCloh6_WO8Hjo0A5zY3Za_NyDtAs|https://lh3.googleusercontent.com/p/AF1QipPQqsFe21J22rcDTRh2in5xksIpxKTj0Zt88xN0,https://lh3.googleusercontent.com/p/AF1QipN0c8Fibp_L9Kx1Q8QgHj2TYOuhQk3ds_F6EhJ8
N/A,0530-433433,"Wifak erak 1370, Bd Al Khansae, Témara 12010","4,0",Le Castelo spa,N/A,https://lh3.googleusercontent.com/p/AF1QipMSReO0kLSW51dA4sea0NFXw3C0SP487w6vjr6c|https://lh3.googleusercontent.com/p/AF1QipMERNCQjiCTOr28bbb3koJPJjIWoqYot12dFvs9|https://lh3.googleusercontent.com/p/AF1QipPFuzAjpu_g_emeyqUt3cr5jfuxyITf_hVD7M8U|https://lh3.googleusercontent.com/p/AF1QipPjGFRO66SjQ-HiJY9F57A43XeSMuLu0X38tSmV|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYLu1UoO2A4Hjk9-ta1NxBz_iECAmziZobSeyq9R_EgbjAN08oxn5oFZw09MWf3a7gygDXOmyRmiQlLlWyNOpxBaF3MV5rZ66ULbR73or4xxs-1hxNO_LbUibpzq2CYrY8i2ZM7Q|https://lh3.googleusercontent.com/p/AF1QipMAIslHj8T_R2DUIY6y8dUm70AEGk2EfOKx1YFN|https://lh3.googleusercontent.com/p/AF1QipMT4cTiXBze4bwFR9cmIADx45j055uPibWHT4kE|https://lh3.googleusercontent.com/p/AF1QipMFvvte9Lo24R_UMZ7BX3DV8U45qAU68-6_FbVT|https://lh3.googleusercontent.com/p/AF1QipMNRNsqjdWPDkBEvsbAzHWjtRh46E_Tbtly8w7o|https://lh3.googleusercontent.com/p/AF1QipMy_p2rj1oSCMzO7tBw2c5BzsqfWDvS3-haGS1V|https://lh3.googleusercontent.com/p/AF1QipNpISQaRmK8EZkwVzVIEDdLUnBJ006GuaGMNPLL|https://lh3.googleusercontent.com/p/AF1QipO9_XPHyvZ4luo_OqQdrAsNQm3K48Iy9yHB49jn|https://lh3.googleusercontent.com/p/AF1QipO3CabCXBd-XbPL9bp_ebc-_jMcZryUnjyOIxh1|https://lh3.googleusercontent.com/p/AF1QipPRCjqq2sBrTWWYVwGTs1cROpkLhY3OXeXzieLn|https://lh3.googleusercontent.com/p/AF1QipMlbkeoR_TgpSsb48DiLPqTPx5kAbOlnsR1r_X8|https://lh3.googleusercontent.com/p/AF1QipO9ZQq_R61KzcPP0r1JJQL2oXzmw0PIC66_TCcx,https://lh3.googleusercontent.com/p/AF1QipMSReO0kLSW51dA4sea0NFXw3C0SP487w6vjr6c
S'identifie comme géré par une femme,05376-27220,"12040, Temara 12040","4,5","Le Jade Spa, Institut de Beauté",https://lejadespa.com/,https://lh3.googleusercontent.com/p/AF1QipPd6fRyE4P8L34qa3dFTgvxI34HqrJ2g0y20NHU|https://lh3.googleusercontent.com/p/AF1QipOLRHPwRIsrOddAXCXAPS5IjUrD2aE2eTgqm-oB|https://lh3.googleusercontent.com/p/AF1QipNa6RQ4oD5evn16fdgoKsaWaFY06QAf3oF2aLpY|https://lh3.googleusercontent.com/p/AF1QipN4U71tiiIgK4pzqAQCsjFPChmrtp4d1YCN90QP|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyoTG0qK_knP87cU9E3pZ4WjwtypR3ndi3biuAFH6Pkk8cDNtAU0R_8tuM3V_dxyq_pKqkiY9VQRf8Z7J71WFZzgMIe-RppkqkxljGgdodi2QVLY8REoIDp5f3XIEm7cFeAjO7R6Q|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYKf0pDtYGOT5BbA7CtZqjmgNrJlqyJQ5OyymG7bXdEikpVd4IQbwEmX8sBptBnSKUcW1WYaoGOQ2U2h0IQQN9y1iaXf1jFetMK0cxmP4SpSh_0S7qXGzMJTHH17nUE--oIuW7|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz0mE6hEiE8X3EsGrcVuKnpoxc-6i-ltOoVMMAMCT67WCgIsbdY4Jor2oS8Ow7UqLnGaeO24qp_pppgr_0-OdBj2UTDt0Y0xO_3PPennDDr4ixnhYC53XUCGut6UnVoAYW223uFnw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzg5OuTNqwGY9IbQ2CxmMa2kk5wFU8tiTGnKPnZLXFCdEFAaSJ7GfQqvzTgXIGE4Pr76gAWNkJ_Nd4seXblnh0iVF0pnQ8bqjQFhEexwe4HcPqOwm9K9aYruz16N5Y4sLi5syhi|https://lh3.googleusercontent.com/p/AF1QipM5R_-_30rC-z9VKS9b7_qMAltrb7MK5RI3tUhH|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy3jhWOTso-KrcLDxCuEVb-Vc5e4dbHM_b5qcXIeIjZS2jivn_tRkFAqAJnV4CBbsEX7UATDaDq0wEAGgpKKE1JlRsLo41b739XCUWZ2mLjA_HvpzZuImNIhHM0pf-diVbec_P1Ug|https://lh3.googleusercontent.com/p/AF1QipOTAflbP0r833GGlr85B7SGafyn79nxiKtwPO0r|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwnswmfS8WVsOIdX7XqUHArMEN-gV0VAX8OJMm5076qgDQa4gBwmrDY2lO4PFFna34aRTTWhLW2FD5rxilPHsDKo2ppIj2T2zybH7pKvYMr1zijVPSZkKSpP7OpnTW9OgRCxWBh|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyvsL8bYOvH0D-lh0KufyOAeQbLk4NlN0RZYUj5ovPnJRouRMPSQ5D-O1GDwx2M8KYbp1UzvUjbspXqE-szvoJfpgnb8qYtR2BOrlxI2f4rE7tCl2XL1eoZzMOIDE-Fj3NcXGvUJg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy2SwrRHwGUe5Ujc-Hr7MFSUaj6-E2Z6Yte94_JBAts2acofu8s8oBOCyx_oFvu1XY_WkMI3bf5Sv-umSTBZWCy-sRBvgIBiV6WxAtt2adUpNGtE5Mn50a5enp7Wi7d36Fz01tm|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBp_x0xweqMCH_Dp3u-sPcUi1oD5rNgfqvYX0ZXsx6ZCUPVS04GjlmPjMwzs7ee4iqQxi4MS95-6cnE5q_6lQJgzgLrmxXx7se67Td67_Jlwb1oxDnnGyIUyiPTkDbByjZYyFB|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIgU9GNKoE8BlWv7oBa2HLXFsm9YI8g2s8il1Ln2LTuHibCPbYM8obDiCdvCAWMxCSG6d-hxZglU1C5QRCqywBdKmVZjDz20MZqO269oAu3IquWvcSnBnh-0M67iz1JcoEMg|https://lh3.googleusercontent.com/p/AF1QipNp9oyF65clmKDzzNP5jo88N-qYf9mSJMjVYEot|https://lh3.googleusercontent.com/p/AF1QipOK-9b4NEmBJ8Q9ZqIQwCYtCjdGBxoc7aKJbL_s|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx7AdZHYmsvf1loa2VgeOdxaFrc9vVnw3mlyJ0hON9pLdIyN72ZNwQbfzqoY1B6_boL-pCOKWnTC1RtIrpT_c91qX7R36RCBSsqBmkBbylNZoUaR-kjnN6AdWdX6VMqyn9jm2fh|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxM-i_yEeecHejRPctj0ABOzb2-ErG-ohNkHCKBui2a-gX0XWGivRNUt3wNdQZutoKx7LSbJ1biLOqnCnFfHREwIB474J5c5OsV1VtQNOww6odMX9KapSQ1f4OvA11ghqGYIbsi,https://lh3.googleusercontent.com/p/AF1QipPd6fRyE4P8L34qa3dFTgvxI34HqrJ2g0y20NHU
S'identifie comme géré par une femme,N/A,"lot smara, immeuble 106 Av. Khadija Bent Khouailid, Témara 12040","4,4",Instant de plaisir spa 100% femme,N/A,https://lh3.googleusercontent.com/p/AF1QipM2EAVCS12zmrxps_-ImArhgcyXovS4LxXu2XgC|https://lh3.googleusercontent.com/p/AF1QipPqPHFyCsQW4vTyH9xvCGc_3Hr7K2OfXy7O4Akv|https://lh3.googleusercontent.com/p/AF1QipMieI3s_cPb5RjEDexpzC2fvtWmwDh6rVO-Y1st|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyKiY5jTsIjfEBgsR4kLR___W05MTsM2pGQmyqbQEssuOZSJuZ7h_FpH5T3z4EK91MI5dhTNI6kPTyWlzEUwW50A61NyxOqwa5KJZ-jyrSEi516RWwz70qsbsOJ_nQVKK3MYJ0Odw|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwjHT4hdK_EJcG8M6iaaO38q--hnv5ojfnz-UfcYkb9bnF_Y2CRU23KWr7VdVOk1CsstY2wUTYfBMC1Ko7CLn4f64FGLDoOoLtI_7qZu0ABERtfCpY16j8V_E-vnpY4ZB6IEqGgfg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzs3K8P4BoDANZt3eobMUQfHXjXNMdpjbFm47jlmLWaNFt9ddwnpbSUx76COtYWBDaV2c0nDru2ft_fQWPgtBF6FDVD5I4gsrTl5yxnSY8WSWk-V8f6ZNiACDGgW5qkhOQ6XHUX6Q,https://lh3.googleusercontent.com/p/AF1QipM2EAVCS12zmrxps_-ImArhgcyXovS4LxXu2XgC
N/A,N/A,"W3FP+J3M, Témara","3,6",Hammam Al Fen حمام الفن,N/A,,N/A
N/A,N/A,"W32J+V72, Témara","4,1",Bath jewel,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtcYbquM7Ti0Oa0MlPa7wpkMIcaiWPlBBCgRd3dwmOZLOMrt1BirOBuKVavZudlQO029dgRUIHoQx36iHw6M4OJzdAIql2aom1x4O-N_R8hsTCXTSnf1Q2V66I2-rbLmqh1fiA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxr13ZRt1fs7L97V769Rrku-T5Nvp4pXJElDPWCtCbttyaZgPJGHVLUvjfMEuspPzUc7JZv60nvO26819DuB9mZCyxxGUHGFVyJcVfiNP1w7FlFpHMY99xXdZmflz_CnPCCxB-ADg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwEuXezJkLQ9maAFHT8Bot5SfvG8gEg9LVz3SKshnKagJo4Y1aGnaYhHy8F-c08uGrn4KDTTk7XwzRXG3iHHRxrEbTDT417X1GfZb1ZjmGn-nG-v-lrCWpBV4nxSrrrkxTnVIu7|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7hBW4I0DxiMr5jl0DxPKLnL8oLa-F74Ms-awlCLtka17vSCh9K4G7_bF9fMggRH7TjX6IbbvyaEpsMD3UnSIBRQg_slfzNNbK2QY8gB_vs8qze6oSMmbLBYZ5jwpI-sLLReox6A|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyk7VyFs6gGhRglJF6tiVON16cHRYeo29bIEzKNnzDSmy5uixP-yEN95tlulFM-_J1OfNM8C5y8fNoxwqgsqxSfwjI2xMp121GBC2EAl_IRMm_JfJfFIp06n7uc9mxw3Wi-JJlr2A|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzV7bXxBD7wj8NIimn8e3l_wYXcljN74KJ00wyChhWoh68C1sVa9z8eP_zguq0NQJkT04z2koFrAwyYTP8E7AH7LlIOexNekEsXr05-woA3RDXCfTILdYPCbkdv1PrgaxV1dBI|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxKqHHS37YmNR0NWR54bP1um9lpcHamt2J-Mn3KR3Afh3b0z_LTKXx6Yf1pLuBxQPAerN4taeTR7ZV59wYCuC3uKGx09lPBRASbD_giswqfp9eT6elD6VrCYs7JF4AVeSu9tau2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwId8TW8FC-nSedZTOJLeutn1SsUTpJ58xAJdDaTEPxBlxa3DRJwBjsg-zDJt_vBFvemwRGaj_XiiHFanMvh7PDSrE3Q7OsaJLQGmu4osy_xfnszjZUKuJDmbmkZa-Hsp4Af34b|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxY4k6O0Xkys83RgFMXsc7R8UVLoDuGVc0t29P9M1AiMTki8kz8VuN2GAkXYZ0y-g7EkC_VjeUeAS1krBMP9rcNjchYD7NHEuz1peJMvNg8ZW89y5rLaeIxcXKt9dT8RlPaqj1B|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzwyBZa0oOReXEp_4Vu2uINK0rtcQ_yJarxhlT6ZA7ni-SoUf1-VqkqOoUZ2vW-5AXrHV91NOymLwXiuhjVih7oOf_ABlhDi0oRIv9pZmy-XKJdzm5_viJr_bKAozbgBS8ZgcpJqg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtcYbquM7Ti0Oa0MlPa7wpkMIcaiWPlBBCgRd3dwmOZLOMrt1BirOBuKVavZudlQO029dgRUIHoQx36iHw6M4OJzdAIql2aom1x4O-N_R8hsTCXTSnf1Q2V66I2-rbLmqh1fiA
N/A,N/A,"W3FP+J3M, Témara","3,6",Hammam Al Fen حمام الفن,N/A,,N/A
N/A,0639-204014,"W3P6+P66, R322, Témara","4,6",Nil Spa,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy18z7xxGKSUlF9XN1XZsO8aAbxiAPqPd-Lm3zJIM0WJIyZu4_BM2PeZMOuQc-ri0QJkvfbFaq-K1ni48NSmk9H-XrcUPaWFunsG6VQb17WYxHs9NlMYrs0r0xZTU33HVGSBsXNTQ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy18z7xxGKSUlF9XN1XZsO8aAbxiAPqPd-Lm3zJIM0WJIyZu4_BM2PeZMOuQc-ri0QJkvfbFaq-K1ni48NSmk9H-XrcUPaWFunsG6VQb17WYxHs9NlMYrs0r0xZTU33HVGSBsXNTQ
N/A,N/A,"W32J+V72, Témara","4,1",Bath jewel,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtcYbquM7Ti0Oa0MlPa7wpkMIcaiWPlBBCgRd3dwmOZLOMrt1BirOBuKVavZudlQO029dgRUIHoQx36iHw6M4OJzdAIql2aom1x4O-N_R8hsTCXTSnf1Q2V66I2-rbLmqh1fiA|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxr13ZRt1fs7L97V769Rrku-T5Nvp4pXJElDPWCtCbttyaZgPJGHVLUvjfMEuspPzUc7JZv60nvO26819DuB9mZCyxxGUHGFVyJcVfiNP1w7FlFpHMY99xXdZmflz_CnPCCxB-ADg|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwEuXezJkLQ9maAFHT8Bot5SfvG8gEg9LVz3SKshnKagJo4Y1aGnaYhHy8F-c08uGrn4KDTTk7XwzRXG3iHHRxrEbTDT417X1GfZb1ZjmGn-nG-v-lrCWpBV4nxSrrrkxTnVIu7|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7hBW4I0DxiMr5jl0DxPKLnL8oLa-F74Ms-awlCLtka17vSCh9K4G7_bF9fMggRH7TjX6IbbvyaEpsMD3UnSIBRQg_slfzNNbK2QY8gB_vs8qze6oSMmbLBYZ5jwpI-sLLReox6A|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyk7VyFs6gGhRglJF6tiVON16cHRYeo29bIEzKNnzDSmy5uixP-yEN95tlulFM-_J1OfNM8C5y8fNoxwqgsqxSfwjI2xMp121GBC2EAl_IRMm_JfJfFIp06n7uc9mxw3Wi-JJlr2A|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzV7bXxBD7wj8NIimn8e3l_wYXcljN74KJ00wyChhWoh68C1sVa9z8eP_zguq0NQJkT04z2koFrAwyYTP8E7AH7LlIOexNekEsXr05-woA3RDXCfTILdYPCbkdv1PrgaxV1dBI|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxKqHHS37YmNR0NWR54bP1um9lpcHamt2J-Mn3KR3Afh3b0z_LTKXx6Yf1pLuBxQPAerN4taeTR7ZV59wYCuC3uKGx09lPBRASbD_giswqfp9eT6elD6VrCYs7JF4AVeSu9tau2|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwId8TW8FC-nSedZTOJLeutn1SsUTpJ58xAJdDaTEPxBlxa3DRJwBjsg-zDJt_vBFvemwRGaj_XiiHFanMvh7PDSrE3Q7OsaJLQGmu4osy_xfnszjZUKuJDmbmkZa-Hsp4Af34b|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxY4k6O0Xkys83RgFMXsc7R8UVLoDuGVc0t29P9M1AiMTki8kz8VuN2GAkXYZ0y-g7EkC_VjeUeAS1krBMP9rcNjchYD7NHEuz1peJMvNg8ZW89y5rLaeIxcXKt9dT8RlPaqj1B|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzwyBZa0oOReXEp_4Vu2uINK0rtcQ_yJarxhlT6ZA7ni-SoUf1-VqkqOoUZ2vW-5AXrHV91NOymLwXiuhjVih7oOf_ABlhDi0oRIv9pZmy-XKJdzm5_viJr_bKAozbgBS8ZgcpJqg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtcYbquM7Ti0Oa0MlPa7wpkMIcaiWPlBBCgRd3dwmOZLOMrt1BirOBuKVavZudlQO029dgRUIHoQx36iHw6M4OJzdAIql2aom1x4O-N_R8hsTCXTSnf1Q2V66I2-rbLmqh1fiA
N/A,N/A,"W3M5+CRW Centre commercial laayoune, N8, Temara","5,0",moutaa spa,N/A,,N/A
N/A,N/A,"12 Av. Ibn Khaldoun, Témara 12030","4,4",Hammam Rissani,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzDtZutFZsCHFwi4TiwWMW14TBh9AwtaYEHAsaphZpxRIAXhlUyxm2urgv7br1qV_bSipEaSQ-7ctvy0TlX79QfD9aA4EQ5ziVtVBnzQ4F8RL86A5K9NuCjE9t0IhcEM3BzOUHh|https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw1c3OfOOmqNpAqsURGWy12aXqChJkpHloRTiO2A0Nh_zwk-DTlhuGvxFwJrBuF4ZgF3KZLsct-P_uz0uF4F88M5fDn2AM5mhYpA2Y99KWlBDeEDRALydVCC06R4zA6NavR0fVAwRpT4ub1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzDtZutFZsCHFwi4TiwWMW14TBh9AwtaYEHAsaphZpxRIAXhlUyxm2urgv7br1qV_bSipEaSQ-7ctvy0TlX79QfD9aA4EQ5ziVtVBnzQ4F8RL86A5K9NuCjE9t0IhcEM3BzOUHh
